,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-05-31,2022-06-30,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2023-01-31,2023-02-28,2023-03-31,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-10-31,2023-11-30,2024-01-31,2024-02-29,2024-04-30,2024-05-31,2024-07-31,2024-09-30,2024-10-31
DBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,0.26581,0.3,0.21606,0.17912,0.17353,0.17855,0.15544,0.15942,0.15429,0.13602,0.13968,0.13895,0.14228,0.1586,0.16974,0.16116,0.15295,0.17047,0.17,0.1702,0.20078,0.20301,0.1834,0.17342,0.16525,0.1655,0.17764
^VIX,0.02641,0.03087,0.02387,0.01865,0.01942,0.02259,0.02024,0.02085,0.02028,0.0179,0.01793,0.01937,0.0193,0.02061,0.0226,0.02233,0.02336,0.02279,0.02338,0.02363,0.02562,0.02629,0.02602,0.02547,0.02676,0.02538,0.02616
AOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWN,0.0,0.0,0.00086,0.0,0.00161,0.0,0.0,0.0,0.0,0.00268,0.0,0.01303,0.00966,0.0,0.00636,0.01452,0.03073,0.01226,0.01733,0.02077,0.00533,0.00693,0.0229,0.0306,0.04216,0.038,0.03275
AQMIX,0.24629,0.26625,0.25131,0.20223,0.21752,0.26419,0.28007,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
AGG,0.3,0.27523,0.3,0.3,0.3,0.3,0.3,0.3,0.24928,0.2434,0.24239,0.22864,0.22875,0.22079,0.2013,0.20199,0.19297,0.19448,0.18928,0.1854,0.16826,0.16377,0.16768,0.17051,0.16584,0.17112,0.16345
BIL,0.16149,0.12765,0.2079,0.3,0.28792,0.23467,0.24425,0.21974,0.27615,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
